atoms,bonds,dbonds,HBA1,HBD,logP,MR,MW,sbonds,Target
11,10,3,11,3,0.5625,5.56,5.0397,7,No
45,46,3,45,14,2.475,24.464,22.17468,43,Yes
26,25,0,26,12,1.575,15.568,14.11116,25,No
8,7,0,4,1,2.983,25.636,143.82788,7,Yes
25,24,2,25,4,1.3475,13.344,77.47528,22,No
6,5,1,3,1,2.181,18.671,107.36694,4,Yes
15,15,0,15,3,0.675,6.672,6.04764,15,No
20,20,2,20,7,0.9,8.896,8.06352,18,No
29,30,0,29,11,1.575,15.568,14.11116,30,Yes
24,23,2,24,7,1.575,15.568,14.11116,21,No
12,12,0,10,4,1.829,16.154,74.93776,12,No
30,32,0,30,10,1.575,15.568,14.11116,32,Yes
15,14,2,15,4,0.9,8.896,8.06352,12,Yes
12,12,0,11,5,1.252,11.413,40.4927,12,No
11,10,0,9,3,2.054,18.378,76.95364,10,Yes
24,24,1,23,7,1.927,18.085,46.54034,23,No
10,10,0,10,3,0.675,6.672,6.04764,10,Yes
35,35,1,35,11,1.9125,18.904,17.13498,34,Yes
9,8,1,9,3,0.675,6.672,6.04764,7,No
80,79,1,80,24,5.7375,56.712,51.40494,78,No
9,8,0,8,3,1.252,11.413,40.4927,8,No
18,19,0,18,7,0.7875,7.784,7.05558,19,No
39,41,4,39,15,1.9125,18.904,17.13498,37,Yes
13,12,1,13,3,0.7875,7.784,7.05558,11,No
10,9,2,10,4,0.675,6.672,6.04764,7,Yes
12,12,0,12,6,0.675,6.672,6.04764,12,Yes
39,39,1,39,13,2.1375,21.128,19.15086,38,No
26,26,1,26,6,1.575,15.568,14.11116,25,No
12,11,1,11,3,1.477,13.637,42.50858,10,Yes
23,24,3,17,4,4.587,39.566,216.74976,21,Yes
71,70,0,64,23,9.439,86.563,289.49654,70,Yes
5,4,0,3,1,1.604,13.93,72.92188,4,Yes
27,27,0,27,11,1.6875,16.68,15.1191,27,No
38,37,0,33,12,5.81,52.617,198.43174,37,Yes
6,5,1,2,0,2.758,23.412,141.812,4,Yes
14,13,0,13,4,1.702,15.861,44.52446,13,No
15,14,2,15,3,0.9,8.896,8.06352,12,No
57,60,5,57,17,2.7,26.688,24.19056,55,No
12,11,1,11,3,1.477,13.637,42.50858,10,Yes
43,45,3,43,14,2.1375,21.128,19.15086,42,No
12,12,0,10,4,1.829,16.154,74.93776,12,Yes
51,55,2,51,13,2.475,24.464,22.17468,53,No
5,4,0,2,1,2.3371,21.745,151.81794,4,Yes
25,25,0,25,10,1.4625,14.456,13.10322,25,No
7,6,0,7,3,-0.0433,9.09,13.83482,6,No
14,14,1,9,0,3.4475,29.265,177.265,13,No
7,7,0,7,2,0.45,4.448,4.03176,7,Yes
10,9,1,10,2,0.5625,5.56,5.0397,8,No
13,13,0,13,4,0.9,8.896,8.06352,13,No
9,8,2,9,3,0.3375,3.336,26.01359,6,No
15,16,0,15,5,0.5625,5.56,5.0397,16,No
30,32,0,30,13,1.4625,14.456,13.10322,32,No
17,17,1,17,5,0.675,6.672,6.04764,16,No
44,46,4,44,13,1.4625,14.456,36.09299,42,No
42,44,3,42,12,1.9125,18.904,56.23328,41,No
20,20,3,20,5,0.675,6.672,6.04764,17,No
17,17,1,17,5,0.675,6.672,6.04764,16,No
23,24,4,23,5,0.675,6.672,6.04764,20,No
18,17,2,16,3,2.1665,19.49,77.96158,15,Yes
16,16,0,16,7,0.9,8.896,8.06352,16,No
56,59,5,56,16,2.7,26.688,24.19056,54,No
20,20,2,20,6,0.2942,12.426,80.96924,18,No
26,26,2,26,8,1.8,17.792,16.12704,24,No
5,4,0,2,1,2.6493,27.893,240.71994,4,No
14,14,0,13,5,1.3645,12.525,41.50064,14,Yes
14,13,2,14,5,0.7875,7.784,7.05558,11,Yes
13,13,0,11,4,1.829,16.154,74.93776,13,No
40,41,0,40,15,2.3625,23.352,21.16674,41,No
32,33,3,31,9,1.927,18.085,46.54034,30,No
20,20,0,20,7,1.2375,12.232,11.08734,20,No
22,24,0,22,8,1.35,13.344,12.09528,24,Yes
63,66,2,63,17,3.375,33.36,30.2382,64,No
29,28,4,29,4,0.9,8.896,8.06352,24,No
14,14,0,14,6,0.675,6.672,6.04764,14,No
43,45,2,43,15,2.25,22.24,20.1588,43,Yes
19,19,0,19,8,1.125,11.12,10.0794,19,No
15,16,0,15,6,0.675,6.672,6.04764,16,Yes
15,15,0,15,6,0.9,8.896,8.06352,15,No
11,11,2,11,2,0.45,4.448,4.03176,9,No
11,11,0,11,4,0.675,6.672,6.04764,11,Yes
18,18,1,18,6,1.125,11.12,10.0794,17,Yes
18,18,1,17,5,1.252,11.413,40.4927,15,No
14,14,1,14,6,0.675,6.672,6.04764,13,Yes
17,17,1,16,6,1.477,13.637,42.50858,16,No
25,25,3,25,7,1.575,15.568,14.11116,22,No
11,11,1,11,4,0.45,4.448,4.03176,10,Yes
26,28,2,24,6,2.4787,25.638,166.86358,26,Yes
11,10,0,8,3,2.631,23.119,111.3987,10,Yes
5,4,0,4,1,1.1831,12.263,82.92782,4,No
13,12,4,13,0,0,0,0,8,Yes
23,23,0,23,9,1.4625,14.456,13.10322,23,No
12,12,1,12,4,0.675,6.672,6.04764,11,Yes
20,20,1,20,7,1.0125,10.008,9.07146,19,No
38,38,3,38,11,2.1375,21.128,19.15086,35,No
8,7,1,7,2,1.027,9.189,38.47682,6,No
22,23,0,16,4,5.5236,58.01,483.45576,23,Yes
12,11,0,10,4,2.3662,24.526,165.85564,11,Yes
17,17,0,17,6,0.9,8.896,8.06352,17,Yes
9,9,0,9,4,0.45,4.448,4.03176,9,Yes
14,14,0,14,6,0.675,6.672,6.04764,14,No
31,33,2,31,12,1.35,13.344,12.09528,31,No
36,38,2,36,11,1.4625,14.456,13.10322,36,Yes
18,19,0,18,8,0.9,8.896,8.06352,19,No
53,56,4,53,15,1.9125,18.904,17.13498,52,No
38,39,5,38,10,1.35,13.344,58.07482,34,No
10,9,0,10,4,0.675,6.672,6.04764,9,No
16,16,0,11,1,3.785,32.601,180.28882,16,Yes
18,18,1,18,5,0.7875,7.784,7.05558,17,Yes
15,15,1,15,5,0.5625,5.56,5.0397,14,No
31,31,1,31,10,1.575,15.568,14.11116,30,No
30,32,0,30,8,1.2375,12.232,11.08734,32,Yes
17,18,1,17,6,0.675,6.672,6.04764,17,Yes
19,20,1,19,6,0.9,8.896,8.06352,19,No
26,27,0,25,10,1.927,18.085,46.54034,27,Yes
40,42,0,40,13,2.25,22.24,20.1588,42,No
80,87,10,80,14,1.795,17.792,235.17812,77,Yes
21,21,1,21,7,1.125,11.12,10.0794,20,No
47,49,1,47,15,2.3625,23.352,21.16674,48,No
10,9,2,10,4,0.675,6.672,6.04764,7,Yes
55,56,0,55,14,3.375,33.36,30.2382,56,No
11,11,2,5,0,4.137,35.118,212.718,9,No
72,73,0,71,22,4.725,46.704,42.33348,73,No
36,37,1,36,13,2.1375,21.128,19.15086,36,Yes
17,17,2,17,5,0.5625,5.56,5.0397,15,No
31,33,2,30,11,1.927,18.085,46.54034,31,Yes
43,46,1,43,16,2.3625,23.352,21.16674,45,No
6,5,0,6,1,0.3375,3.336,3.02382,4,No
16,15,1,16,4,1.0125,10.008,9.07146,14,Yes
6,5,1,2,0,1.6808,4.432,75.9936128,4,Yes
19,18,0,17,6,2.8162,28.974,169.8874,18,Yes
43,47,1,43,14,2.3625,23.352,21.16674,46,No
28,29,1,28,9,1.6875,16.68,15.1191,28,No
42,44,4,42,14,1.575,15.568,14.11116,40,Yes
26,26,0,26,8,1.575,15.568,14.11116,26,No
7,6,1,7,1,0.3375,3.336,3.02382,5,Yes
22,22,2,22,5,1.0125,10.008,32.06123,20,No
38,41,1,38,14,1.575,15.568,14.11116,40,Yes
18,18,0,18,7,1.125,11.12,10.0794,18,Yes
10,9,2,9,3,1.252,11.413,40.4927,7,Yes
11,11,0,11,5,0.5625,5.56,5.0397,11,Yes
13,12,1,13,4,0.9,8.896,8.06352,11,No
21,22,2,21,4,0.9,8.896,8.06352,20,No
13,13,0,13,4,0.9,8.896,8.06352,13,No
30,31,2,30,10,1.575,15.568,14.11116,29,Yes
12,11,0,11,4,1.477,13.637,42.50858,11,No
18,17,0,18,7,1.2375,12.232,11.08734,17,Yes
54,53,0,54,18,3.9375,38.92,35.2779,53,No
67,66,2,67,21,4.8375,47.816,43.34142,64,No
13,13,0,13,5,0.675,6.672,6.04764,13,Yes
22,21,0,22,7,1.575,15.568,14.11116,21,Yes
12,11,1,12,3,0.9,8.896,8.06352,10,No
15,14,2,15,5,0.9,8.896,8.06352,12,No
27,27,1,27,8,1.575,15.568,14.11116,26,Yes
24,26,2,24,8,0.9,8.896,8.06352,24,Yes
4,3,1,4,0,0,0,22.98977,2,No
109,108,6,109,36,6.6375,65.608,59.46846,102,No
2,1,0,2,0,0,0,114.818,0,Yes
25,26,2,23,8,2.279,20.602,78.96952,24,No
